SubjectID,VideoID,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,predefinedlabel,user-definedlabeln
0.00E+00,0.00E+00,5.60E+01,4.30E+01,2.78E+02,3.02E+05,9.06E+04,3.37E+04,2.40E+04,2.79E+04,4.51E+04,3.32E+04,8.29E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.00E+01,3.50E+01,-5.00E+01,7.38E+04,2.81E+04,1.44E+03,2.24E+03,2.75E+03,3.69E+03,5.29E+03,2.74E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.70E+01,4.80E+01,1.01E+02,7.58E+05,3.84E+05,2.02E+05,6.21E+04,3.63E+04,1.31E+05,5.72E+04,2.54E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.70E+01,5.70E+01,-5.00E+00,2.01E+06,1.29E+05,6.12E+04,1.71E+04,1.15E+04,6.25E+04,5.00E+04,3.39E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.40E+01,5.30E+01,-8.00E+00,1.01E+06,3.54E+05,3.71E+04,8.89E+04,4.53E+04,9.96E+04,4.48E+04,2.97E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.40E+01,6.60E+01,7.30E+01,1.79E+06,1.77E+05,5.94E+04,2.62E+04,1.51E+04,3.37E+04,3.38E+04,3.18E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.30E+01,6.90E+01,1.30E+02,6.35E+05,1.22E+05,9.01E+04,6.51E+04,3.62E+04,5.30E+04,6.29E+04,5.93E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.00E+01,6.10E+01,-2.00E+00,1.61E+05,1.21E+04,1.96E+03,8.09E+02,1.28E+03,3.19E+03,3.27E+03,2.52E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.30E+01,6.90E+01,1.70E+01,4.93E+05,1.21E+05,6.37E+04,6.82E+04,1.08E+04,8.84E+04,7.38E+04,2.27E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.70E+01,6.90E+01,-5.90E+01,8.20E+04,1.16E+05,4.73E+04,2.62E+04,4.16E+04,2.89E+04,3.26E+04,4.18E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.80E+01,3.80E+01,-1.40E+01,7.57E+05,1.86E+05,3.24E+03,3.84E+03,1.89E+04,4.30E+04,4.68E+04,1.19E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.40E+01,4.80E+01,7.20E+01,6.68E+05,1.42E+05,7.51E+04,1.62E+04,4.59E+04,3.45E+04,7.49E+04,3.18E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.70E+01,3.40E+01,1.21E+02,1.65E+05,4.21E+04,3.16E+03,6.26E+03,7.27E+03,1.95E+04,1.10E+04,8.15E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.80E+01,3.00E+01,-5.20E+01,7.38E+05,8.43E+04,2.24E+03,3.87E+04,2.17E+04,2.83E+04,8.09E+04,2.47E+04,0.00E+00,0.00E+00
